System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%)
19:46:48:819, 224074450950045,    0.111,    2.000, 2300,   7.839,   0.868,   0.241,   3.555,   0.394,   0.109, 50,  0,   0.426,   0.047,   0.013,   3.060,   0.339,   0.094,  35.000,  650,   2.194
19:46:48:924, 224074682960509,    0.216,    4.000, 2500,   8.417,   1.753,   0.487,   4.278,   0.843,   0.234, 51,  0,   0.462,   0.096,   0.027,   2.946,   0.648,   0.180,  35.000,  700,   1.456
19:46:49:034, 224074927732947,    0.327,    5.000, 2100,   8.752,   2.723,   0.756,   4.939,   1.391,   0.386, 51,  0,   0.488,   0.150,   0.042,   2.583,   0.935,   0.260,  35.000,  500,   2.052
19:46:49:142, 224075163570337,    0.434,   12.000, 2500,  11.433,   3.944,   1.096,   8.473,   2.296,   0.638, 51,  0,   0.733,   0.228,   0.063,   1.668,   1.113,   0.309,  35.000,  700,   2.791
19:46:49:251, 224075405694605,    0.543,    3.000, 2300,   8.159,   4.839,   1.344,   4.310,   2.768,   0.769, 50,  0,   0.482,   0.281,   0.078,   2.701,   1.409,   0.391,  35.000,  700,   2.704
19:46:49:361, 224075647916585,    0.653,    8.000, 2400,  10.092,   5.946,   1.652,   6.461,   3.477,   0.966, 51,  0,   0.665,   0.354,   0.098,   2.362,   1.668,   0.463,  35.000,  800,   2.078
19:46:49:470, 224075888085673,    0.762,    3.000, 2000,   8.258,   6.844,   1.901,   4.265,   3.941,   1.095, 50,  0,   0.494,   0.408,   0.113,   2.748,   1.967,   0.546,  35.000,  950,   2.336
19:46:49:582, 224076135195849,    0.874,   10.000, 3200,   9.042,   7.856,   2.182,   5.229,   4.526,   1.257, 50,  0,   0.491,   0.463,   0.129,   2.589,   2.257,   0.627,  35.000,  950,   1.364
19:46:49:688, 224076369680265,    0.980,    1.000, 3100,   7.799,   8.684,   2.412,   3.474,   4.895,   1.360, 50,  0,   0.404,   0.506,   0.140,   3.154,   2.592,   0.720,  35.000,  900,   1.235
19:46:49:801, 224076620948381,    1.094,    3.000, 3200,   8.216,   9.619,   2.672,   3.927,   5.342,   1.484, 49,  0,   0.393,   0.550,   0.153,   3.093,   2.944,   0.818,  35.000,  800,   0.205
19:46:49:910, 224076860058149,    1.202,    5.000, 2100,   7.768,  10.460,   2.906,   3.551,   5.727,   1.591, 50,  0,   0.425,   0.596,   0.166,   3.064,   3.276,   0.910,  35.000,  500,   1.002
19:46:50:018, 224077099085381,    1.310,    7.000, 2300,  10.311,  11.577,   3.216,   6.852,   6.468,   1.797, 50,  0,   0.634,   0.665,   0.185,   2.222,   3.516,   0.977,  35.000,  700,   5.753
19:46:50:128, 224077341131999,    1.420,    7.000, 2400,   9.201,  12.585,   3.496,   5.957,   7.121,   1.978, 52,  0,   0.499,   0.720,   0.200,   2.011,   3.737,   1.038,  35.000,  800,   1.860
19:46:50:236, 224077579727183,    1.528,   18.000, 2100,  10.335,  13.702,   3.806,   7.528,   7.935,   2.204, 51,  0,   0.629,   0.788,   0.219,   1.528,   3.902,   1.084,  35.000,  450,   1.536
19:46:50:367, 224077869474381,    1.659,   71.000, 2000,  12.570,  15.352,   4.264,   9.978,   9.244,   2.568, 51,  0,   0.906,   0.907,   0.252,   1.277,   4.069,   1.130,  35.000,  450,   6.974
19:46:50:455, 224078063988371,    1.747,   22.000, 2000,  12.359,  16.440,   4.567,   9.528,  10.084,   2.801, 52,  0,   1.016,   0.996,   0.277,   1.420,   4.194,   1.165,  35.000,  500,  16.186
19:46:50:571, 224078319108037,    1.863,   18.000, 2300,   8.859,  17.464,   4.851,   4.923,  10.652,   2.959, 55,  0,   0.568,   1.062,   0.295,   2.674,   4.503,   1.251,  35.000,  500,   8.544
19:46:50:678, 224078555908279,    1.970,   17.000, 2200,  11.716,  18.720,   5.200,   8.965,  11.614,   3.226, 51,  0,   0.944,   1.163,   0.323,   1.438,   4.658,   1.294,  35.000,  700,   3.186
19:46:50:783, 224078787802119,    2.075,   10.000, 2100,  11.092,  19.885,   5.524,   8.059,  12.460,   3.461, 51,  0,   0.611,   1.227,   0.341,   1.798,   4.846,   1.346,  35.000,  700,   1.847
19:46:50:892, 224079028925037,    2.184,   10.000, 2900,  10.469,  21.029,   5.841,   7.143,  13.240,   3.678, 50,  0,   0.725,   1.306,   0.363,   2.042,   5.069,   1.408,  35.000,  850,   2.118
19:46:51:001, 224079268266447,    2.293,    3.000, 2500,   7.975,  21.893,   6.081,   3.816,  13.654,   3.793, 49,  0,   0.444,   1.354,   0.376,   2.917,   5.385,   1.496,  35.000,  700,   1.385
19:46:51:116, 224079523086805,    2.408,    3.000, 2600,   8.054,  22.823,   6.340,   4.052,  14.122,   3.923, 49,  0,   0.461,   1.408,   0.391,   2.832,   5.712,   1.587,  35.000,  950,   1.943
19:46:51:220, 224079752597111,    2.512,    4.000, 2300,   7.827,  23.636,   6.566,   3.634,  14.499,   4.028, 50,  0,   0.428,   1.452,   0.403,   3.011,   6.025,   1.674,  35.000,  800,   1.642
19:46:51:334, 224080004896221,    2.626,   13.000, 2300,  10.580,  24.845,   6.901,   7.788,  15.389,   4.275, 52,  0,   0.692,   1.531,   0.425,   1.549,   6.202,   1.723,  35.000,  500,   4.832
19:46:51:441, 224080240058139,    2.733,   12.000, 2300,  11.645,  26.085,   7.246,   8.423,  16.286,   4.524, 53,  0,   0.586,   1.594,   0.443,   1.931,   6.408,   1.780,  35.000,  550,  10.798
19:46:51:569, 224080524197597,    2.861,    8.000, 3100,   9.207,  27.270,   7.575,   5.399,  16.981,   4.717, 55,  0,   0.537,   1.663,   0.462,   2.656,   6.750,   1.875,  35.000,  950,   8.323
19:46:51:662, 224080728796381,    2.954,   11.000, 2300,  11.573,  28.343,   7.873,   8.512,  17.770,   4.936, 51,  0,   0.636,   1.722,   0.478,   1.760,   6.913,   1.920,  35.000,  700,   0.883
19:46:51:766, 224080958944107,    3.058,    9.000, 2500,  10.532,  29.440,   8.178,   7.613,  18.564,   5.157, 50,  0,   0.594,   1.784,   0.495,   1.680,   7.088,   1.969,  35.000,  600,   0.591
19:46:51:875, 224081199927808,    3.167,   12.000, 2600,  10.342,  30.569,   8.491,   7.499,  19.382,   5.384, 51,  0,   0.665,   1.856,   0.516,   1.590,   7.261,   2.017,  35.000,  550,   1.033
19:46:51:986, 224081445040310,    3.278,    5.000, 3100,  10.010,  31.680,   8.800,   6.579,  20.112,   5.587, 51,  0,   0.622,   1.925,   0.535,   2.196,   7.505,   2.085,  35.000,  950,   1.784
19:46:52:095, 224081684018361,    3.387,    9.000, 2000,  10.166,  32.781,   9.106,   6.895,  20.859,   5.794, 51,  0,   0.675,   1.998,   0.555,   1.919,   7.713,   2.142,  35.000,  500,   1.808
19:46:52:204, 224081924569099,    3.496,    2.000, 2800,   8.709,  33.730,   9.369,   4.728,  21.374,   5.937, 50,  0,   0.501,   2.053,   0.570,   2.755,   8.013,   2.226,  35.000,  950,   1.990
19:46:52:315, 224082169557611,    3.607,   17.000, 2300,  10.927,  34.942,   9.706,   8.039,  22.266,   6.185, 51,  0,   0.747,   2.136,   0.593,   1.601,   8.191,   2.275,  35.000,  700,   8.763
