System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%)
19:36:41:675, 222733873621041,    0.106,    2.000, 2000,   7.531,   0.798,   0.222,   3.042,   0.322,   0.090, 50,  0,   0.370,   0.039,   0.011,   3.298,   0.349,   0.097,  35.000, 1050,   0.799
19:36:41:786, 222734121150345,    0.218,    7.000, 2100,  10.082,   1.928,   0.536,   6.637,   1.066,   0.296, 50,  0,   0.583,   0.104,   0.029,   2.249,   0.602,   0.167,  35.000,  550,   0.693
19:36:41:894, 222734357054189,    0.325,    6.000, 2000,   9.408,   2.933,   0.815,   5.983,   1.706,   0.474, 50,  0,   0.605,   0.169,   0.047,   2.166,   0.833,   0.231,  35.000,  600,   1.322
19:36:42:001, 222734593461026,    0.432,    7.000, 2400,  10.275,   4.033,   1.120,   6.931,   2.448,   0.680, 49,  0,   0.669,   0.241,   0.067,   2.069,   1.054,   0.293,  35.000,  800,   1.922
19:36:42:112, 222734841606389,    0.544,    4.000, 2300,   9.508,   5.102,   1.417,   5.865,   3.107,   0.863, 50,  0,   0.531,   0.300,   0.083,   2.368,   1.321,   0.367,  35.000,  800,   1.634
19:36:42:220, 222735077489701,    0.651,    4.000, 2500,   8.873,   6.050,   1.680,   5.142,   3.656,   1.016, 49,  0,   0.526,   0.357,   0.099,   2.503,   1.588,   0.441,  35.000,  700,   1.670
19:36:42:329, 222735319679055,    0.761,    1.000, 2000,   7.437,   6.866,   1.907,   3.188,   4.006,   1.113, 49,  0,   0.403,   0.401,   0.111,   3.131,   1.931,   0.536,  35.000,  950,   1.340
19:36:42:439, 222735560613097,    0.870,    3.000, 2300,   8.252,   7.766,   2.157,   4.202,   4.464,   1.240, 49,  0,   0.462,   0.451,   0.125,   2.873,   2.245,   0.624,  35.000,  950,   1.842
19:36:42:578, 222735868460627,    1.009,   13.000, 2700,   8.695,   8.978,   2.494,   4.768,   5.129,   1.425, 52,  0,   0.477,   0.518,   0.144,   2.677,   2.618,   0.727,  35.000,  650,   1.816
19:36:42:661, 222736049904993,    1.092,    3.000, 2600,   8.594,   9.684,   2.690,   4.572,   5.505,   1.529, 49,  0,   0.460,   0.555,   0.154,   2.806,   2.849,   0.791,  35.000,  700,   2.945
