System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:54:30:549, 516440203678048,    0.107,    1.000, 2600,   3.446,   0.368,   0.102,   1.328,   0.142,   0.039, 30,  0,   1.006,   0.107,   0.030,   0.116,   0.012,   0.003,  45.000,    0,   0.216
21:54:30:657, 516440484708174,    0.215,    1.000, 2600,   2.779,   0.669,   0.186,   0.915,   0.241,   0.067, 30,  0,   0.964,   0.212,   0.059,   0.026,   0.015,   0.004,  45.000,    0,   0.120
21:54:30:765, 516440764213287,    0.323,    0.000, 2600,   2.951,   0.987,   0.274,   0.966,   0.345,   0.096, 30,  0,   0.984,   0.318,   0.088,   0.045,   0.020,   0.006,  45.000,    0,   0.112
21:54:30:874, 516441046805360,    0.432,    0.000, 2600,   2.501,   1.260,   0.350,   0.728,   0.424,   0.118, 29,  0,   0.914,   0.418,   0.116,   0.006,   0.021,   0.006,  45.000,    0,   0.000
21:54:30:982, 516441327200894,    0.540,    0.000, 2600,   2.747,   1.557,   0.433,   0.907,   0.523,   0.145, 30,  0,   0.932,   0.519,   0.144,   0.010,   0.022,   0.006,  45.000,    0,   0.000
21:54:31:090, 516441608738906,    0.649,    2.000, 2600,   3.735,   1.963,   0.545,   1.922,   0.731,   0.203, 30,  0,   0.960,   0.623,   0.173,   0.038,   0.026,   0.007,  45.000,    0,   0.026
21:54:31:199, 516441890060180,    0.757,    1.000, 2600,   3.610,   2.355,   0.654,   1.530,   0.897,   0.249, 30,  0,   1.043,   0.736,   0.204,   0.046,   0.031,   0.009,  45.000,    0,   0.071
21:54:31:308, 516442172606601,    0.866,    2.000, 2600,   3.580,   2.745,   0.763,   1.515,   1.063,   0.295, 30,  0,   1.053,   0.851,   0.236,   0.070,   0.039,   0.011,  45.000,    0,   0.060
21:54:31:432, 516442493543459,    0.990,    7.000, 3000,   4.381,   3.288,   0.913,   2.404,   1.360,   0.378, 30,  0,   1.002,   0.975,   0.271,   0.064,   0.047,   0.013,  45.000,    0,   0.448
21:54:31:527, 516442740390132,    1.085,    0.000, 2600,   2.591,   3.534,   0.982,   0.726,   1.429,   0.397, 30,  0,   0.939,   1.064,   0.296,   0.019,   0.048,   0.013,  45.000,    0,   0.000
21:54:31:637, 516443025804040,    1.196,    1.000, 2600,   3.369,   3.905,   1.085,   1.501,   1.595,   0.443, 30,  0,   0.928,   1.167,   0.324,   0.006,   0.049,   0.014,  45.000,    0,   0.000
21:54:31:746, 516443308279336,    1.305,    0.000, 2600,   2.484,   4.176,   1.160,   0.701,   1.671,   0.464, 29,  0,   0.913,   1.266,   0.352,   0.025,   0.052,   0.014,  45.000,    0,   0.000
21:54:31:856, 516443592604936,    1.414,    0.000, 2600,   2.663,   4.468,   1.241,   0.873,   1.767,   0.491, 29,  0,   0.919,   1.367,   0.380,   0.005,   0.052,   0.014,  45.000,    0,   0.000
21:54:31:967, 516443880809468,    1.525,    0.000, 2600,   2.438,   4.739,   1.316,   0.674,   1.842,   0.512, 29,  0,   0.913,   1.468,   0.408,   0.009,   0.053,   0.015,  45.000,    0,   0.000
21:54:32:077, 516444165629842,    1.635,    0.000, 2600,   2.512,   5.015,   1.393,   0.750,   1.924,   0.534, 29,  0,   0.910,   1.568,   0.436,   0.018,   0.055,   0.015,  45.000,    0,   0.000
21:54:32:187, 516444451010526,    1.745,    0.000, 2600,   2.439,   5.284,   1.468,   0.666,   1.997,   0.555, 29,  0,   0.912,   1.669,   0.464,   0.008,   0.056,   0.016,  45.000,    0,   0.000
21:54:32:297, 516444735547292,    1.855,    0.000, 2600,   2.478,   5.556,   1.543,   0.696,   2.074,   0.576, 30,  0,   0.916,   1.769,   0.492,   0.010,   0.057,   0.016,  45.000,    0,   0.000
21:54:32:415, 516445042077286,    1.973,   13.000, 3500,   3.388,   5.956,   1.655,   1.638,   2.268,   0.630, 33,  0,   0.920,   1.878,   0.522,   0.057,   0.064,   0.018,  45.000,    0,   0.259
21:54:32:514, 516445297395894,    2.072,    0.000, 2600,   3.124,   6.264,   1.740,   1.076,   2.374,   0.659, 30,  0,   0.965,   1.973,   0.548,   0.063,   0.070,   0.019,  45.000,    0,   1.023
21:54:32:624, 516445581996390,    2.182,    0.000, 2600,   2.510,   6.540,   1.817,   0.704,   2.451,   0.681, 30,  0,   0.919,   2.074,   0.576,   0.018,   0.072,   0.020,  45.000,    0,   0.000
21:54:32:732, 516445863564998,    2.290,    0.000, 2600,   2.413,   6.802,   1.889,   0.655,   2.522,   0.701, 30,  0,   0.910,   2.173,   0.604,   0.004,   0.073,   0.020,  45.000,    0,   0.000
21:54:32:841, 516446146300000,    2.399,    0.000, 2600,   2.352,   7.058,   1.961,   0.604,   2.588,   0.719, 30,  0,   0.911,   2.272,   0.631,   0.008,   0.074,   0.020,  45.000,    0,   0.000
21:54:32:953, 516446436460636,    2.511,    0.000, 2600,   2.490,   7.337,   2.038,   0.707,   2.667,   0.741, 30,  0,   0.917,   2.375,   0.660,   0.005,   0.074,   0.021,  45.000,    0,   0.000
21:54:33:061, 516446715251319,    2.619,    0.000, 2600,   2.628,   7.620,   2.117,   0.835,   2.757,   0.766, 29,  0,   0.923,   2.474,   0.687,   0.005,   0.075,   0.021,  45.000,    0,   0.000
21:54:33:170, 516446997675120,    2.728,    0.000, 2900,   2.679,   7.911,   2.198,   0.902,   2.855,   0.793, 30,  0,   0.928,   2.575,   0.715,   0.003,   0.075,   0.021,  45.000,    0,   0.000
21:54:33:278, 516447278687016,    2.836,    1.000, 2600,   3.427,   8.283,   2.301,   1.521,   3.020,   0.839, 29,  0,   1.008,   2.685,   0.746,   0.017,   0.077,   0.021,  45.000,    0,   0.000
21:54:33:388, 516447562587096,    2.946,    2.000, 2600,   3.650,   8.683,   2.412,   1.756,   3.212,   0.892, 30,  0,   1.016,   2.796,   0.777,   0.038,   0.081,   0.023,  45.000,    0,   0.114
21:54:33:497, 516447844519432,    3.055,    2.000, 2600,   4.512,   9.174,   2.548,   2.352,   3.468,   0.963, 30,  0,   1.027,   2.908,   0.808,   0.143,   0.097,   0.027,  45.000,    0,   0.524
21:54:33:605, 516448126673864,    3.164,    1.000, 2600,   3.102,   9.511,   2.642,   1.102,   3.588,   0.997, 30,  0,   0.989,   3.015,   0.838,   0.059,   0.103,   0.029,  45.000,    0,   0.102
21:54:33:729, 516448448271266,    3.288,    1.000, 2600,   2.821,   9.861,   2.739,   0.984,   3.710,   1.031, 30,  0,   0.963,   3.135,   0.871,   0.026,   0.106,   0.030,  45.000,    0,   0.000
21:54:33:839, 516448731410896,    3.397,    3.000, 2600,   5.038,  10.412,   2.892,   3.087,   4.048,   1.124, 30,  0,   1.107,   3.256,   0.904,   0.006,   0.107,   0.030,  45.000,    0,   0.000
21:54:33:947, 516449012762385,    3.505,    1.000, 2600,   3.303,  10.770,   2.992,   1.452,   4.205,   1.168, 29,  0,   0.991,   3.363,   0.934,   0.023,   0.109,   0.030,  45.000,    0,   0.000
21:54:34:057, 516449297106002,    3.615,    2.000, 2600,   3.418,  11.145,   3.096,   1.512,   4.371,   1.214, 29,  0,   1.006,   3.474,   0.965,   0.052,   0.115,   0.032,  45.000,    0,   0.037
21:54:34:166, 516449579184993,    3.724,    2.000, 2600,   3.652,  11.543,   3.206,   1.553,   4.540,   1.261, 30,  0,   1.054,   3.588,   0.997,   0.090,   0.125,   0.035,  45.000,    0,   0.157
