System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:16:06:437,3.17133E+13,0.102,0,4000,3.494,0.356,0.099,2.541,0.259,0.072,42,0,0.4,0.041,0.011,0.046,0.005,0.001,65,0,0.489
21:16:06:545,3.17136E+13,0.21,1,4000,5.065,0.903,0.251,4.232,0.716,0.199,42,0,0.407,0.085,0.023,0.033,0.008,0.002,65,0,0.08
21:16:06:659,3.17138E+13,0.324,0,4100,2.705,1.211,0.336,1.869,0.929,0.258,42,0,0.381,0.128,0.036,0.044,0.013,0.004,65,0,0.251
21:16:06:765,3.1714E+13,0.429,3,4000,6.748,1.923,0.534,6.007,1.563,0.434,41,0,0.468,0.177,0.049,0.031,0.017,0.005,65,0,0.09
21:16:06:878,3.17143E+13,0.543,0,4100,2.489,2.206,0.613,1.856,1.774,0.493,41,0,0.36,0.218,0.061,0.008,0.017,0.005,65,0,0
21:16:06:988,3.17145E+13,0.652,9,4000,17.151,4.08,1.133,16.084,3.531,0.981,49,0,0.641,0.288,0.08,0.037,0.021,0.006,65,0,0.071
21:16:07:098,3.17148E+13,0.763,10,3900,17.87,6.059,1.683,16.681,5.379,1.494,59,0,0.451,0.338,0.094,0.03,0.025,0.007,65,0,0.425
21:16:07:205,3.1715E+13,0.87,7,3900,14.379,7.597,2.11,13.287,6.799,1.889,44,0,0.469,0.388,0.108,0.077,0.033,0.009,65,0,0.207
21:16:07:315,3.17153E+13,0.979,0,4000,1.685,7.781,2.161,1.163,6.927,1.924,41,0,0.324,0.424,0.118,0.005,0.034,0.009,65,0,0
21:16:07:424,3.17155E+13,1.089,2,4000,6.669,8.512,2.364,5.75,7.557,2.099,41,0,0.471,0.476,0.132,0.04,0.038,0.011,65,0,0.088
