System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%)
19:56:17:492,4.50699E+13,0.112,2,2700,4.349,0.489,0.136,3.373,0.379,0.105,47,0,0.403,0.045,0.013,0.047,0.005,0.001,35,0,0.395
19:56:17:602,4.50702E+13,0.222,1,2000,3.177,0.837,0.233,2.227,0.623,0.173,47,0,0.402,0.089,0.025,0.068,0.013,0.004,35,0,0.289
19:56:17:712,4.50704E+13,0.332,2,3600,2.114,1.069,0.297,1.46,0.784,0.218,47,0,0.372,0.13,0.036,0.032,0.016,0.005,35,0,0.046
19:56:17:821,4.50707E+13,0.441,1,2500,4.225,1.532,0.425,3.215,1.135,0.315,47,0,0.443,0.179,0.05,0.069,0.024,0.007,35,0,0.368
19:56:17:931,4.50709E+13,0.551,3,3600,5.99,2.187,0.607,5.018,1.684,0.468,47,0,0.488,0.232,0.064,0.045,0.029,0.008,35,0,0.248
19:56:18:040,4.50711E+13,0.659,6,2400,13.242,3.627,1.008,12.105,3.001,0.834,51,0,0.48,0.284,0.079,0.045,0.034,0.009,35,0,0.411
19:56:18:149,4.50714E+13,0.769,10,2500,13.913,5.154,1.432,12.646,4.389,1.219,53,0,0.532,0.343,0.095,0.03,0.037,0.01,35,0,0.282
19:56:18:260,4.50716E+13,0.88,6,2600,12.252,6.508,1.808,11.047,5.609,1.558,49,0,0.486,0.396,0.11,0.035,0.041,0.011,35,0,0.362
19:56:18:369,4.50719E+13,0.989,2,2600,5.128,7.068,1.963,4.272,6.076,1.688,49,0,0.434,0.444,0.123,0.059,0.047,0.013,35,0,0.222
19:56:18:479,4.50721E+13,1.098,1,2500,4.45,7.555,2.099,3.503,6.46,1.794,47,0,0.395,0.487,0.135,0.04,0.052,0.014,35,0,1.519
19:56:18:588,4.50723E+13,1.208,2,2700,4.365,8.033,2.231,3.533,6.847,1.902,49,0,0.431,0.534,0.148,0.077,0.06,0.017,35,0,0.32
19:56:18:697,4.50726E+13,1.317,0,2700,2.877,8.347,2.319,2.036,7.069,1.964,47,0,0.375,0.575,0.16,0.048,0.065,0.018,35,0,0.099
19:56:18:807,4.50728E+13,1.427,9,2800,10,9.443,2.623,8.768,8.03,2.23,49,0,0.584,0.639,0.178,0.091,0.075,0.021,35,0,0.912
19:56:18:916,4.50731E+13,1.536,1,2200,3.74,9.852,2.737,2.951,8.352,2.32,47,0,0.428,0.686,0.191,0.112,0.088,0.024,35,0,1.035
19:56:19:012,4.50733E+13,1.632,7,3100,9.246,10.736,2.982,8.116,9.128,2.536,51,0,0.529,0.737,0.205,0.086,0.096,0.027,35,0,0.569
19:56:19:121,4.50735E+13,1.741,7,2100,14.056,12.271,3.408,12.8,10.526,2.924,52,0,0.404,0.781,0.217,0.008,0.097,0.027,35,0,0
19:56:19:230,4.50738E+13,1.851,8,2800,13.688,13.773,3.826,12.554,11.904,3.307,52,0,0.468,0.832,0.231,0.034,0.1,0.028,35,0,0.135
19:56:19:348,4.5074E+13,1.968,2,2200,2.149,14.025,3.896,1.432,12.072,3.353,48,0,0.384,0.877,0.244,0.007,0.101,0.028,35,0,0
19:56:19:458,4.50743E+13,2.078,1,2000,5.48,14.626,4.063,4.616,12.578,3.494,48,0,0.476,0.929,0.258,0.075,0.109,0.03,35,0,0.388
19:56:19:567,4.50745E+13,2.187,2,2400,1.594,14.8,4.111,0.995,12.687,3.524,48,0,0.351,0.968,0.269,0.025,0.112,0.031,35,0,0.067
19:56:19:676,4.50748E+13,2.296,0,1400,1.452,14.959,4.155,0.84,12.778,3.55,47,0,0.336,1.004,0.279,0.037,0.116,0.032,35,0,0.572
19:56:19:786,4.5075E+13,2.405,2,3200,2.177,15.197,4.221,1.444,12.936,3.593,48,0,0.381,1.046,0.291,0.065,0.123,0.034,35,0,0.145
