System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%)
16:34:47:382,2.59098E+13,0.119,3,3400,7.06,0.842,0.234,5.953,0.71,0.197,46,0,0.452,0.054,0.015,0.075,0.009,0.002,35,0,0.711
16:34:47:489,2.591E+13,0.226,1,2500,4,1.27,0.353,2.985,1.029,0.286,48,0,0.456,0.103,0.029,0.051,0.014,0.004,35,0,0.228
16:34:47:598,2.59102E+13,0.335,2,4000,5.05,1.818,0.505,4.011,1.465,0.407,45,0,0.452,0.152,0.042,0.052,0.02,0.006,35,0,0.309
16:34:47:708,2.59105E+13,0.446,0,2100,2.784,2.127,0.591,1.869,1.672,0.464,45,0,0.4,0.196,0.054,0.024,0.023,0.006,35,0,0.14
16:34:47:819,2.59107E+13,0.557,5,3900,7.452,2.955,0.821,6.388,2.382,0.662,47,0,0.551,0.257,0.071,0.042,0.027,0.008,35,0,0.2
16:34:47:926,2.5911E+13,0.663,2,2500,7.465,3.75,1.042,6.333,3.056,0.849,46,0,0.456,0.306,0.085,0.01,0.028,0.008,35,0,0
16:34:48:035,2.59112E+13,0.773,9,2600,12.656,5.139,1.428,11.336,4.3,1.195,50,0,0.674,0.38,0.106,0.039,0.033,0.009,35,0,0.217
16:34:48:150,2.59114E+13,0.887,8,2500,12.429,6.562,1.823,11.273,5.591,1.553,50,0,0.548,0.443,0.123,0.007,0.033,0.009,35,0,0
16:34:48:256,2.59117E+13,0.994,9,2800,12.989,7.942,2.206,11.612,6.825,1.896,50,0,0.585,0.505,0.14,0.085,0.042,0.012,35,0,0.524
16:34:48:366,2.59119E+13,1.103,8,2600,5.781,8.577,2.382,4.744,7.346,2.04,47,0,0.509,0.561,0.156,0.13,0.057,0.016,35,0,2.118
16:34:48:478,2.59122E+13,1.215,2,3500,4.122,9.036,2.51,3.143,7.696,2.138,47,0,0.466,0.613,0.17,0.124,0.07,0.02,35,0,2.358
16:34:48:584,2.59124E+13,1.322,3,2500,3.501,9.41,2.614,2.524,7.966,2.213,46,0,0.446,0.66,0.183,0.112,0.082,0.023,35,700,1.003
16:34:48:692,2.59126E+13,1.429,0,2100,2.396,9.667,2.685,1.622,8.14,2.261,45,0,0.394,0.703,0.195,0.04,0.087,0.024,35,0,3.869
16:34:48:801,2.59129E+13,1.538,2,2200,2.823,9.976,2.771,2.134,8.373,2.326,45,0,0.397,0.746,0.207,0.038,0.091,0.025,35,0,0.071
16:34:48:910,2.59131E+13,1.648,0,1600,1.517,10.142,2.817,0.899,8.471,2.353,45,0,0.366,0.786,0.218,0.009,0.092,0.026,35,0,30.877
