System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%),,
17:06:33:007,1.07339E+14,0.104,1,2100,3.176,0.329,0.091,2.315,0.24,0.067,45,0,0.389,0.04,0.011,0.068,0.007,0.002,35,0,0.532,,0.24
17:06:33:116,1.0734E+14,0.213,4,2100,4.747,0.848,0.235,3.849,0.66,0.183,47,0,0.418,0.086,0.024,0.046,0.012,0.003,35,0,0.418,,0.42
17:06:33:225,1.0734E+14,0.322,0,2100,2.346,1.105,0.307,1.548,0.83,0.231,45,0,0.4,0.13,0.036,0.067,0.02,0.005,35,0,0.553,,0.17
17:06:33:334,1.0734E+14,0.432,3,2800,4.167,1.56,0.433,3.203,1.18,0.328,47,0,0.445,0.178,0.05,0.032,0.023,0.006,35,550,0.107,,0.35
17:06:33:444,1.0734E+14,0.541,1,2200,3.763,1.971,0.547,2.862,1.492,0.415,46,0,0.424,0.225,0.062,0.081,0.032,0.009,35,0,0.383,,0.312
17:06:33:553,1.07341E+14,0.65,6,3100,7.078,2.745,0.762,6.166,2.166,0.602,46,0,0.555,0.285,0.079,0.059,0.038,0.011,35,0,0.361,,0.674
17:06:33:663,1.07341E+14,0.759,2,2000,3.482,3.125,0.868,2.587,2.449,0.68,46,0,0.407,0.33,0.092,0.021,0.041,0.011,35,0,0.194,,0.283
17:06:33:772,1.07341E+14,0.87,4,4000,5.052,3.681,1.023,4.047,2.895,0.804,47,0,0.529,0.388,0.108,0.055,0.047,0.013,35,0,0.226,,0.446
17:06:33:881,1.07341E+14,0.978,5,2100,6.123,4.345,1.207,4.805,3.415,0.949,50,0,0.463,0.438,0.122,0.292,0.078,0.022,35,0,1.506,,0.52
17:06:33:991,1.07342E+14,1.087,10,2800,13.266,5.797,1.61,11.791,4.706,1.307,51,0,0.618,0.506,0.141,0.176,0.098,0.027,35,0,1.013,,1.291
17:06:34:100,1.07342E+14,1.197,8,2200,13.929,7.328,2.036,12.694,6.101,1.695,52,0,0.468,0.557,0.155,0.054,0.104,0.029,35,0,0.703,,1.395
17:06:34:210,1.07342E+14,1.306,4,2200,7.516,8.147,2.263,6.413,6.8,1.889,47,0,0.429,0.604,0.168,0.066,0.111,0.031,35,0,0.508,,0.699
17:06:34:319,1.07342E+14,1.415,0,2100,1.695,8.332,2.314,1.067,6.917,1.921,46,0,0.372,0.645,0.179,0.065,0.118,0.033,35,0,0.286,,0.117
17:06:34:428,1.07343E+14,1.525,3,4000,3.802,8.75,2.43,2.784,7.223,2.006,47,0,0.455,0.695,0.193,0.074,0.126,0.035,35,0,0.351,,0.306
17:06:34:538,1.07343E+14,1.635,6,3800,6.79,9.493,2.637,5.638,7.839,2.178,46,0,0.498,0.749,0.208,0.11,0.138,0.038,35,0,0.95,,0.616
