System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%),,
02:20:58:943,1.378E+14,0.111,1,1800,2.782,0.31,0.086,1.987,0.221,0.061,45,0,0.38,0.042,0.012,0.069,0.008,0.002,35,0,0.587,,0.221
02:20:59:053,1.37801E+14,0.221,2,2900,2.841,0.621,0.173,2.08,0.449,0.125,45,0,0.408,0.087,0.024,0.03,0.011,0.003,35,0,0.09,,0.228
02:20:59:162,1.37801E+14,0.33,7,2100,11.946,1.921,0.534,10.886,1.634,0.454,50,0,0.491,0.14,0.039,0.043,0.016,0.004,35,0,0.955,,1.185
02:20:59:271,1.37801E+14,0.439,12,2300,14.166,3.473,0.965,12.779,3.034,0.843,50,0,0.689,0.216,0.06,0.086,0.025,0.007,35,0,0.514,,1.4
02:20:59:381,1.37801E+14,0.549,2,2100,5.511,4.076,1.132,4.619,3.539,0.983,46,0,0.43,0.263,0.073,0.064,0.032,0.009,35,0,0.498,,0.505
02:20:59:490,1.37801E+14,0.658,9,3700,6.157,4.752,1.32,5.207,4.111,1.142,46,0,0.535,0.322,0.089,0.076,0.04,0.011,35,0,0.651,,0.572
02:20:59:599,1.37802E+14,0.767,0,2100,1.974,4.967,1.38,1.274,4.249,1.18,45,0,0.396,0.365,0.101,0.067,0.048,0.013,35,0,0.454,,0.138
02:20:59:709,1.37802E+14,0.877,3,3100,3.826,5.387,1.497,2.873,4.565,1.268,46,0,0.448,0.414,0.115,0.058,0.054,0.015,35,0,0.181,,0.316
02:20:59:818,1.37802E+14,0.987,1,3700,3.454,5.765,1.601,2.515,4.84,1.345,46,0,0.421,0.46,0.128,0.091,0.064,0.018,35,0,0.449,,0.275
02:20:59:927,1.37802E+14,1.095,6,2600,6.051,6.423,1.784,5.082,5.393,1.498,51,0,0.483,0.513,0.142,0.079,0.073,0.02,35,0,0.88,,0.553
02:21:00:037,1.37803E+14,1.205,5,2100,7.348,7.226,2.007,6.25,6.076,1.688,46,0,0.57,0.575,0.16,0.119,0.086,0.024,35,0,1.487,,0.683
02:21:00:146,1.37803E+14,1.315,3,3100,5.37,7.817,2.171,4.44,6.564,1.823,46,0,0.463,0.626,0.174,0.079,0.094,0.026,35,0,0.533,,0.488
02:21:00:255,1.37803E+14,1.423,1,1800,3.174,8.162,2.267,2.266,6.811,1.892,45,0,0.396,0.669,0.186,0.077,0.103,0.029,35,0,0.564,,0.247
02:21:00:365,1.37803E+14,1.533,3,4000,2.82,8.472,2.353,2.275,7.061,1.961,45,0,0.377,0.71,0.197,0.025,0.105,0.029,35,0,0.163,,0.25
02:21:00:474,1.37804E+14,1.644,8,3900,3.786,8.891,2.47,2.817,7.373,2.048,50,0,0.405,0.755,0.21,0.066,0.113,0.031,35,0,0.473,,0.312
02:21:00:584,1.37804E+14,1.752,2,3700,4.078,9.331,2.592,3.239,7.722,2.145,46,0,0.394,0.798,0.222,0.055,0.119,0.033,35,0,0.406,,0.349
02:21:00:693,1.37804E+14,1.861,0,3700,1.61,9.507,2.641,0.87,7.817,2.171,45,0,0.365,0.837,0.233,0.062,0.125,0.035,35,0,0.216,,0.095
02:21:00:802,1.37804E+14,1.97,11,3700,12.337,10.854,3.015,11.219,9.042,2.512,51,0,0.611,0.904,0.251,0.025,0.128,0.036,35,0,0.172,,1.225
02:21:00:911,1.37805E+14,2.079,7,2300,13.88,12.369,3.436,12.612,10.418,2.894,53,0,0.416,0.95,0.264,0.028,0.131,0.036,35,0,0.133,,1.376
02:21:01:021,1.37805E+14,2.189,9,2000,12.471,13.735,3.815,11.391,11.667,3.241,47,0,0.547,1.009,0.28,0.021,0.134,0.037,35,500,0.129,,1.249
02:21:01:130,1.37805E+14,2.298,0,1800,1.487,13.898,3.86,0.886,11.763,3.268,46,0,0.356,1.048,0.291,0.011,0.135,0.037,35,0,0,,0.096
