System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%)
22:46:13:153,5.77261E+13,0.104,2,2300,2.631,0.275,0.076,1.803,0.188,0.052,46,0,0.391,0.041,0.011,0.058,0.006,0.002,35,0,0.112
22:46:13:264,5.77263E+13,0.215,3,2100,2.455,0.547,0.152,1.746,0.382,0.106,45,0,0.353,0.08,0.022,0.074,0.014,0.004,35,0,0.547
22:46:13:374,5.77266E+13,0.324,4,3100,4.162,1.002,0.278,3.138,0.725,0.201,48,0,0.493,0.134,0.037,0.048,0.019,0.005,35,0,0.247
22:46:13:483,5.77268E+13,0.434,1,1800,1.811,1.199,0.333,1.047,0.839,0.233,46,0,0.392,0.177,0.049,0.032,0.023,0.006,35,0,0.266
22:46:13:592,5.7727E+13,0.543,3,2100,2.904,1.517,0.421,2.044,1.062,0.295,45,0,0.444,0.225,0.063,0.051,0.029,0.008,35,0,0.105
22:46:13:701,5.77273E+13,0.652,0,1400,0.967,1.622,0.451,0.434,1.11,0.308,45,0,0.35,0.263,0.073,0.004,0.029,0.008,35,0,0
22:46:13:811,5.77275E+13,0.762,3,3100,4.202,2.082,0.578,3.584,1.502,0.417,48,0,0.413,0.309,0.086,0.044,0.034,0.009,35,0,0.149
22:46:13:920,5.77278E+13,0.871,7,2300,13.853,3.594,0.998,12.596,2.876,0.799,50,0,0.501,0.363,0.101,0.089,0.044,0.012,35,0,0.58
22:46:14:035,5.7728E+13,0.986,9,2500,13.902,5.189,1.441,12.586,4.32,1.2,51,0,0.544,0.426,0.118,0.081,0.053,0.015,35,750,0.801
22:46:14:144,5.77283E+13,1.095,8,2400,11.39,6.439,1.789,10.253,5.445,1.513,51,0,0.492,0.48,0.133,0.092,0.063,0.018,35,0,0.782
22:46:14:248,5.77285E+13,1.199,7,2800,8.919,7.359,2.044,7.712,6.241,1.734,49,0,0.564,0.538,0.149,0.143,0.078,0.022,35,0,2.26
22:46:14:363,5.77287E+13,1.314,2,3400,3.264,7.736,2.149,2.495,6.529,1.814,46,0,0.444,0.589,0.164,0.118,0.091,0.025,35,0,1.315
22:46:14:472,5.7729E+13,1.423,0,2100,2.74,8.035,2.232,1.886,6.735,1.871,46,0,0.408,0.634,0.176,0.075,0.099,0.028,35,0,0.411
22:46:14:582,5.77292E+13,1.533,2,2600,3.219,8.388,2.33,2.422,7,1.945,46,0,0.42,0.68,0.189,0.071,0.107,0.03,35,0,0.502
22:46:14:691,5.77295E+13,1.642,1,2300,3.369,8.755,2.432,2.542,7.277,2.021,46,0,0.433,0.727,0.202,0.109,0.119,0.033,35,0,0.484
