System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%)
00:40:06:884, 2137968693900,    0.110,    9.000, 2300,  13.511,   1.487,   0.413,  12.239,   1.347,   0.374, 52,  0,   0.571,   0.063,   0.017,   0.067,   0.007,   0.002,  35.000,    0,   0.715
00:40:06:993, 2138210548828,    0.220,    8.000, 2700,  13.684,   2.986,   0.829,  12.520,   2.719,   0.755, 52,  0,   0.512,   0.119,   0.033,   0.043,   0.012,   0.003,  35.000,    0,   0.190
00:40:07:103, 2138451495254,    0.329,    8.000, 2100,  13.706,   4.482,   1.245,  12.360,   4.067,   1.130, 52,  0,   0.494,   0.173,   0.048,   0.037,   0.016,   0.004,  35.000,    0,   0.470
00:40:07:212, 2138693100412,    0.438,    8.000, 2100,  13.659,   5.976,   1.660,  12.496,   5.435,   1.510, 52,  0,   0.481,   0.225,   0.063,   0.025,   0.019,   0.005,  35.000,    0,   0.175
00:40:07:321, 2138934454044,    0.547,    7.000, 3400,  13.699,   7.474,   2.076,  12.533,   6.805,   1.890, 53,  0,   0.427,   0.272,   0.076,   0.027,   0.022,   0.006,  35.000,    0,   0.294
00:40:07:431, 2139175814601,    0.657,    8.000, 2300,  13.836,   8.986,   2.496,  12.526,   8.174,   2.271, 52,  0,   0.481,   0.325,   0.090,   0.033,   0.025,   0.007,  35.000,    0,   0.088
00:40:07:556, 2139463088617,    0.787,   14.000, 3500,  13.065,  10.686,   2.968,  11.779,   9.706,   2.696, 54,  0,   0.547,   0.396,   0.110,   0.095,   0.038,   0.010,  35.000,    0,   1.325
00:40:07:649, 2139661246203,    0.877,    9.000, 2800,  13.347,  11.884,   3.301,  12.102,  10.793,   2.998, 52,  0,   0.564,   0.447,   0.124,   0.105,   0.047,   0.013,  35.000,    0,   1.831
00:40:07:759, 2139902083675,    0.986,    6.000, 2300,  13.817,  13.391,   3.720,  12.533,  12.160,   3.378, 52,  0,   0.393,   0.489,   0.136,   0.029,   0.050,   0.014,  35.000,    0,   0.095
00:40:07:868, 2140141661411,    1.094,    8.000, 2500,  13.363,  14.841,   4.122,  12.189,  13.482,   3.745, 53,  0,   0.457,   0.539,   0.150,   0.038,   0.054,   0.015,  35.000,    0,   0.247
00:40:07:977, 2140383062859,    1.204,    6.000, 2300,  13.776,  16.347,   4.541,  12.674,  14.868,   4.130, 53,  0,   0.377,   0.580,   0.161,   0.015,   0.056,   0.016,  35.000,    0,   0.000
00:40:08:087, 2140624937500,    1.313,   16.000, 2300,  16.042,  18.104,   5.029,  14.702,  16.478,   4.577, 51,  0,   0.599,   0.646,   0.179,   0.034,   0.060,   0.017,  35.000,    0,   0.273
