System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:51:21:126,3.63826E+13,0.112,0,3900,3.14,0.352,0.098,2.371,0.266,0.074,37,0,0.365,0.041,0.011,0.039,0.004,0.001,65,0,0.283
21:51:21:236,3.63828E+13,0.222,0,4000,2.799,0.661,0.184,2.041,0.491,0.136,37,0,0.35,0.08,0.022,0.032,0.008,0.002,65,0,0.053
21:51:21:345,3.6383E+13,0.331,1,4000,4.298,1.129,0.314,3.603,0.884,0.245,37,0,0.411,0.124,0.035,0.036,0.012,0.003,65,0,0.322
21:51:21:455,3.63833E+13,0.441,1,4000,4.559,1.628,0.452,3.847,1.305,0.362,37,0,0.434,0.172,0.048,0.082,0.021,0.006,65,0,0.496
21:51:21:564,3.63835E+13,0.55,1,4000,5.13,2.19,0.608,4.184,1.763,0.49,37,0,0.479,0.224,0.062,0.148,0.037,0.01,65,0,1.071
21:51:21:674,3.63838E+13,0.66,2,3900,5.878,2.833,0.787,5.048,2.315,0.643,38,0,0.443,0.273,0.076,0.077,0.045,0.013,65,0,0.19
21:51:21:783,3.6384E+13,0.769,0,4000,3.857,3.255,0.904,3.226,2.668,0.741,37,0,0.373,0.314,0.087,0.008,0.046,0.013,65,0,0
21:51:21:892,3.63843E+13,0.878,3,3900,6.479,3.961,1.1,5.806,3.3,0.917,44,0,0.397,0.357,0.099,0.04,0.051,0.014,65,0,0.169
21:51:22:001,3.63845E+13,0.987,9,3900,17.216,5.844,1.623,16.044,5.055,1.404,45,0,0.534,0.415,0.115,0.071,0.058,0.016,65,0,0.309
21:51:22:112,3.63847E+13,1.098,31,3900,35.227,9.726,2.702,33.364,8.732,2.426,52,0,1.176,0.545,0.151,0.406,0.103,0.029,65,0,5.181
21:51:22:217,3.6385E+13,1.203,28,3900,37.265,13.649,3.791,35.891,12.51,3.475,57,0,1.387,0.691,0.192,0.152,0.119,0.033,65,0,11.666
21:51:22:331,3.63852E+13,1.317,31,3900,42.27,18.454,5.126,40.529,17.118,4.755,62,0,1.221,0.83,0.23,0.249,0.148,0.041,65,0,2.072
21:51:22:441,3.63855E+13,1.427,24,3800,30.965,21.88,6.078,29.916,20.428,5.674,52,0,0.681,0.905,0.251,0.058,0.154,0.043,65,0,0.489
21:51:22:549,3.63857E+13,1.535,19,3900,28.939,25.001,6.945,27.424,23.386,6.496,54,0,0.844,0.996,0.277,0.185,0.174,0.048,65,0,1.866
21:51:22:659,3.63859E+13,1.645,18,3700,27.814,28.063,7.795,26.345,26.286,7.302,53,0,0.807,1.085,0.301,0.405,0.218,0.061,65,0,4.673
21:51:22:765,3.63862E+13,1.751,21,3800,30.561,31.284,8.69,28.627,29.303,8.14,49,0,0.949,1.185,0.329,0.679,0.29,0.081,65,0,9.931
21:51:22:879,3.63864E+13,1.865,31,3900,40.259,35.883,9.967,37.27,33.56,9.322,53,0,1.301,1.334,0.37,1.447,0.455,0.126,65,900,16.038
21:51:22:987,3.63867E+13,1.973,29,3500,38.268,40.014,11.115,33.381,37.164,10.323,58,0,1.452,1.49,0.414,3.391,0.821,0.228,65,900,32.915
21:51:23:093,3.63869E+13,2.079,31,3400,40.96,44.378,12.327,34.887,40.881,11.356,55,0,1.5,1.65,0.458,4.788,1.332,0.37,65,900,32.827
21:51:23:202,3.63872E+13,2.189,20,3800,35.423,48.263,13.406,30.481,44.224,12.284,52,0,1.073,1.768,0.491,3.594,1.726,0.479,65,1050,8.515
21:51:23:311,3.63874E+13,2.297,20,3600,35.128,52.066,14.463,30.471,47.522,13.201,59,0,0.85,1.86,0.517,3.519,2.107,0.585,65,1050,1.787
21:51:23:421,3.63876E+13,2.407,16,3900,29.807,55.344,15.373,25.059,50.279,13.966,59,0,0.77,1.945,0.54,3.441,2.485,0.69,65,1050,0.649
21:51:23:534,3.63879E+13,2.52,16,3600,28.659,58.586,16.274,24.024,52.996,14.721,46,0,0.873,2.043,0.568,3.413,2.871,0.798,65,1050,0.276
21:51:23:644,3.63881E+13,2.63,5,3900,16.064,60.354,16.765,11.291,54.239,15.066,44,0,0.596,2.109,0.586,3.496,3.256,0.904,65,1050,1.641
21:51:23:751,3.63884E+13,2.738,5,4000,14.092,61.865,17.185,9.463,55.253,15.348,47,0,0.54,2.167,0.602,3.454,3.626,1.007,65,1050,0.388
21:51:23:860,3.63886E+13,2.846,2,3900,11.396,63.098,17.527,6.864,55.996,15.555,41,0,0.493,2.22,0.617,3.431,3.998,1.11,65,1050,0.225
21:51:23:968,3.63888E+13,2.954,2,3700,8.532,64.022,17.784,4.069,56.437,15.677,40,0,0.385,2.262,0.628,3.436,4.37,1.214,65,1050,0.076
21:51:24:080,3.63891E+13,3.066,6,3900,16.676,65.893,18.304,12.067,57.791,16.053,40,0,0.436,2.311,0.642,3.431,4.755,1.321,65,1050,0.063
21:51:24:187,3.63893E+13,3.173,2,4000,10.246,66.989,18.608,5.726,58.403,16.223,46,0,0.401,2.354,0.654,3.428,5.121,1.423,65,1050,0.192
21:51:24:340,3.63897E+13,3.326,3,3900,10.397,68.577,19.049,5.933,59.309,16.475,40,0,0.43,2.419,0.672,3.382,5.638,1.566,65,1050,0.591
21:51:24:861,3.63908E+13,3.848,33,3400,34.999,86.832,24.12,31.184,75.575,20.993,55,0,1.094,2.99,0.831,2.543,6.964,1.935,65,900,2.193
21:51:24:955,3.6391E+13,3.941,21,3900,36.227,90.205,25.057,31.84,78.54,21.817,62,0,0.598,3.046,0.846,2.955,7.239,2.011,65,1050,0.426
21:51:25:068,3.63913E+13,4.054,10,3500,26.669,93.227,25.896,22.144,81.049,22.514,54,0,0.543,3.107,0.863,3.461,7.632,2.12,65,1050,0.12
21:51:25:172,3.63915E+13,4.158,8,4000,21.578,95.471,26.52,16.983,82.814,23.004,54,0,0.394,3.148,0.875,3.507,7.996,2.221,65,1050,0
21:51:25:282,3.63917E+13,4.268,9,3900,21.063,97.784,27.162,19.365,84.941,23.595,52,0,0.555,3.209,0.891,0.497,8.051,2.236,65,0,0.346
21:51:25:393,3.6392E+13,4.379,8,4000,17.82,99.757,27.71,16.847,86.807,24.113,53,0,0.381,3.251,0.903,0.009,8.052,2.237,65,0,0
21:51:25:502,3.63922E+13,4.488,9,3900,18.032,101.731,28.259,16.656,88.63,24.619,41,0,0.573,3.314,0.921,0.096,8.062,2.24,65,0,0.384
21:51:25:612,3.63925E+13,4.599,1,4000,3.544,102.123,28.367,2.69,88.927,24.702,40,0,0.407,3.359,0.933,0.038,8.067,2.241,65,0,0.281
21:51:25:718,3.63927E+13,4.704,1,4000,5.098,102.661,28.517,4.145,89.365,24.824,39,0,0.45,3.407,0.946,0.046,8.071,2.242,65,0,0.097
21:51:25:827,3.63929E+13,4.813,2,4000,4.115,103.11,28.642,3.506,89.748,24.93,50,0,0.406,3.451,0.959,0.021,8.074,2.243,65,0,0.036
21:51:25:939,3.63932E+13,4.925,3,4000,11.003,104.337,28.983,9.822,90.843,25.234,40,0,0.575,3.515,0.976,0.033,8.078,2.244,65,0,0.197
21:51:26:047,3.63934E+13,5.033,3,4000,10.642,105.489,29.303,9.528,91.875,25.521,44,0,0.51,3.57,0.992,0.041,8.082,2.245,65,0,0.065
21:51:26:160,3.63937E+13,5.146,2,4000,8.634,106.463,29.573,7.488,92.719,25.755,40,0,0.485,3.625,1.007,0.031,8.086,2.246,65,0,0.243
21:51:26:267,3.63939E+13,5.253,3,4000,10.044,107.537,29.871,8.842,93.665,26.018,40,0,0.473,3.676,1.021,0.026,8.088,2.247,65,0,0.043
21:51:26:376,3.63942E+13,5.362,0,4000,2.186,107.776,29.938,1.546,93.834,26.065,39,0,0.363,3.715,1.032,0.038,8.093,2.248,65,0,1.558
21:51:26:485,3.63944E+13,5.471,2,4000,5.356,108.359,30.1,4.651,94.34,26.206,39,0,0.409,3.76,1.044,0.061,8.099,2.25,65,0,0.122
21:51:26:597,3.63946E+13,5.583,0,4000,2.219,108.608,30.169,1.491,94.508,26.252,39,0,0.354,3.8,1.055,0.008,8.1,2.25,65,0,0
21:51:26:704,3.63949E+13,5.69,1,4100,4.918,109.133,30.315,4.161,94.951,26.375,40,0,0.412,3.844,1.068,0.047,8.105,2.251,65,0,0.088
21:51:26:817,3.63951E+13,5.803,0,4000,2.093,109.369,30.38,1.472,95.117,26.421,38,0,0.345,3.883,1.078,0.008,8.106,2.252,65,0,0
21:51:26:926,3.63954E+13,5.912,2,4100,6.187,110.042,30.567,5.336,95.697,26.583,39,0,0.441,3.931,1.092,0.043,8.111,2.253,65,0,0.056
21:51:27:035,3.63956E+13,6.021,0,4100,2.768,110.344,30.651,1.907,95.905,26.64,38,0,0.383,3.972,1.103,0.029,8.114,2.254,65,0,0.133
21:51:27:146,3.63959E+13,6.132,1,4000,4.972,110.896,30.804,4.151,96.367,26.768,39,0,0.43,4.02,1.117,0.051,8.119,2.255,65,0,0.087
21:51:27:258,3.63961E+13,6.244,7,4000,3.899,111.332,30.925,3.178,96.722,26.867,42,0,0.385,4.063,1.129,0.031,8.123,2.256,65,0,0.06
21:51:27:364,3.63963E+13,6.35,4,4000,8.641,112.249,31.18,7.469,97.515,27.087,39,0,0.581,4.125,1.146,0.056,8.129,2.258,65,0,0.395
21:51:27:468,3.63966E+13,6.455,0,3900,2.725,112.535,31.26,1.943,97.718,27.144,38,0,0.386,4.165,1.157,0.057,8.135,2.26,65,0,0.626
21:51:27:583,3.63968E+13,6.568,1,3900,4.943,113.097,31.416,4.133,98.189,27.275,38,0,0.43,4.214,1.171,0.053,8.141,2.261,65,0,0.197
21:51:27:687,3.63971E+13,6.673,2,4000,5.843,113.709,31.586,4.794,98.691,27.414,41,0,0.428,4.259,1.183,0.533,8.197,2.277,65,0,2.576
21:51:27:797,3.63973E+13,6.783,4,3900,14.079,115.251,32.014,10.468,99.837,27.732,40,0,0.609,4.326,1.202,2.316,8.45,2.347,65,1050,8.56
21:51:27:906,3.63975E+13,6.892,5,3900,15.654,116.963,32.49,10.767,101.015,28.06,42,0,0.59,4.39,1.22,3.826,8.869,2.464,65,1050,8.159
21:51:28:020,3.63978E+13,7.007,0,3900,9.682,118.072,32.798,5.052,101.594,28.22,40,0,0.403,4.436,1.232,3.433,9.262,2.573,65,1050,0.715
21:51:28:129,3.6398E+13,7.115,0,4000,8.556,118.999,33.055,4.109,102.039,28.344,40,0,0.333,4.472,1.242,3.401,9.631,2.675,65,1050,0.029
21:51:28:238,3.63983E+13,7.224,0,4100,7.582,119.823,33.284,3.064,102.372,28.437,39,0,0.359,4.511,1.253,3.426,10.003,2.779,65,1050,0.047
21:51:28:347,3.63985E+13,7.333,1,4000,9.778,120.893,33.581,5.311,102.952,28.598,39,0,0.371,4.552,1.264,3.403,10.375,2.882,65,1050,0.254
21:51:28:456,3.63987E+13,7.442,0,3500,7.622,121.723,33.812,3.138,103.294,28.693,39,0,0.35,4.59,1.275,3.407,10.746,2.985,65,1050,0.048
21:51:28:567,3.6399E+13,7.552,4,4000,14.329,123.308,34.252,9.75,104.373,28.992,41,0,0.59,4.655,1.293,3.412,11.123,3.09,65,1050,0.235
21:51:28:673,3.63992E+13,7.659,0,4000,7.635,124.122,34.478,3.179,104.712,29.087,39,0,0.359,4.694,1.304,3.414,11.488,3.191,65,1050,0.109
21:51:28:781,3.63995E+13,7.766,2,4000,10.899,125.292,34.803,6.338,105.392,29.276,40,0,0.478,4.745,1.318,3.413,11.854,3.293,65,1050,0.105
21:51:28:889,3.63997E+13,7.875,0,4000,8.084,126.172,35.048,3.576,105.782,29.384,39,0,0.371,4.785,1.329,3.423,12.227,3.396,65,1050,0.027
21:51:29:001,3.64E+13,7.987,1,4000,9.156,127.193,35.331,4.697,106.305,29.529,39,0,0.366,4.826,1.341,3.41,12.607,3.502,65,1050,0.052
21:51:29:112,3.64002E+13,8.098,1,4000,8.488,128.133,35.593,3.949,106.743,29.651,39,0,0.303,4.86,1.35,3.419,12.986,3.607,65,1050,0
21:51:29:219,3.64004E+13,8.205,1,4000,9.01,129.1,35.861,4.539,107.23,29.786,39,0,0.376,4.9,1.361,3.412,13.352,3.709,65,1050,0.049
21:51:29:331,3.64007E+13,8.317,1,4100,8.492,130.053,36.126,4.027,107.682,29.912,39,0,0.354,4.94,1.372,3.396,13.733,3.815,65,1050,0.311
21:51:29:438,3.64009E+13,8.424,1,3900,10.312,131.16,36.433,5.786,108.302,30.084,39,0,0.414,4.984,1.385,3.415,14.099,3.916,65,1050,0.221
21:51:29:547,3.64012E+13,8.534,14,3500,23.72,133.747,37.152,19.049,110.38,30.661,48,0,0.721,5.063,1.406,3.485,14.479,4.022,65,1050,5.737
21:51:29:658,3.64014E+13,8.644,7,3900,17.817,135.721,37.7,12.03,111.714,31.032,40,0,0.946,5.168,1.435,4.472,14.975,4.16,65,1050,26.107
21:51:29:766,3.64016E+13,8.752,4,4000,12.392,137.057,38.071,7.034,112.471,31.242,42,0,0.697,5.243,1.456,4.218,15.43,4.286,65,1050,16.816
21:51:29:874,3.64019E+13,8.86,2,4000,11.281,138.27,38.408,6.31,113.15,31.431,40,0,0.582,5.305,1.474,3.86,15.845,4.401,65,1050,9.366
21:51:29:984,3.64021E+13,8.971,4,4000,13.112,139.723,38.812,8.494,114.092,31.692,41,0,0.545,5.366,1.491,3.437,16.226,4.507,65,1050,0.672
21:51:30:096,3.64024E+13,9.082,1,3900,8.783,140.699,39.083,4.301,114.569,31.825,40,0,0.353,5.405,1.501,3.394,16.603,4.612,65,1050,0.357
21:51:30:206,3.64026E+13,9.191,1,4100,9.402,141.732,39.37,4.928,115.111,31.975,40,0,0.356,5.444,1.512,3.396,16.976,4.715,65,1050,0.17
21:51:30:318,3.64029E+13,9.304,0,4000,7.516,142.574,39.604,3.065,115.454,32.071,40,0,0.33,5.481,1.523,3.391,17.356,4.821,65,1050,0.235
21:51:30:425,3.64031E+13,9.411,1,4000,9.699,143.619,39.894,5.185,116.013,32.226,39,0,0.388,5.523,1.534,3.406,17.723,4.923,65,1050,0.294
21:51:30:535,3.64033E+13,9.521,0,4000,7.223,144.409,40.113,2.804,116.319,32.311,39,0,0.303,5.556,1.543,3.383,18.093,5.026,65,1050,0
21:51:30:643,3.64036E+13,9.629,1,4000,9.093,145.393,40.387,4.63,116.82,32.45,39,0,0.38,5.597,1.555,3.394,18.46,5.128,65,1050,0.09
21:51:30:751,3.64038E+13,9.737,0,4000,8.26,146.289,40.636,3.781,117.23,32.564,39,0,0.329,5.633,1.565,3.384,18.827,5.23,65,1050,0
21:51:30:859,3.64041E+13,9.845,1,4000,9.231,147.283,40.912,4.882,117.756,32.71,40,0,0.376,5.673,1.576,3.402,19.193,5.332,65,1050,0.081
21:51:30:969,3.64043E+13,9.955,3,4000,15.241,148.958,41.377,10.694,118.931,33.036,42,0,0.487,5.727,1.591,3.394,19.566,5.435,65,1050,0.017
21:51:31:082,3.64045E+13,10.068,2,4000,12.818,150.407,41.78,8.221,119.861,33.295,40,0,0.448,5.778,1.605,3.423,19.953,5.543,65,1050,0.15
21:51:31:192,3.64048E+13,10.178,2,4000,14.173,151.965,42.213,9.668,120.924,33.59,41,0,0.461,5.828,1.619,3.405,20.328,5.647,65,1050,0.146
21:51:31:295,3.6405E+13,10.281,2,4000,11.446,153.147,42.541,6.871,121.633,33.787,40,0,0.437,5.873,1.632,3.412,20.68,5.744,65,1050,0.386
21:51:31:408,3.64053E+13,10.394,4,3600,12.799,154.588,42.941,8.365,122.575,34.049,42,0,0.522,5.932,1.648,3.446,21.068,5.852,65,950,1.275
