System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%)
19:42:02:386, 43181852636596,    0.110,    1.000, 2100,   3.528,   0.386,   0.107,   2.662,   0.292,   0.081, 45,  0,   0.405,   0.044,   0.012,   0.060,   0.007,   0.002,  35.000,    0,   0.317
19:42:02:496, 43182116955895,    0.229,    8.000, 4000,   3.309,   0.783,   0.217,   2.512,   0.592,   0.165, 56,  0,   0.396,   0.092,   0.025,   0.034,   0.011,   0.003,  35.000,    0,   0.064
19:42:02:605, 43182336117096,    0.329,    1.000, 2400,   4.058,   1.185,   0.329,   3.020,   0.892,   0.248, 46,  0,   0.417,   0.133,   0.037,   0.076,   0.018,   0.005,  35.000,    0,   0.800
19:42:02:715, 43182577588066,    0.438,    2.000, 2200,   5.334,   1.769,   0.491,   4.333,   1.366,   0.379, 46,  0,   0.471,   0.185,   0.051,   0.079,   0.027,   0.007,  35.000,    0,   0.295
19:42:02:839, 43182852517260,    0.562,    2.000, 2400,   4.383,   2.315,   0.643,   3.552,   1.808,   0.502, 48,  0,   0.411,   0.236,   0.066,   0.026,   0.030,   0.008,  35.000,    0,   0.288
19:42:02:949, 43183094130412,    0.672,    9.000, 2300,  13.484,   3.790,   1.053,  12.110,   3.133,   0.870, 49,  0,   0.577,   0.299,   0.083,   0.072,   0.038,   0.011,  35.000,    0,   0.526
19:42:03:058, 43183336760537,    0.782,    6.000, 2900,  11.813,   5.088,   1.413,  10.601,   4.298,   1.194, 47,  0,   0.479,   0.352,   0.098,   0.087,   0.048,   0.013,  35.000,    0,   0.318
19:42:03:168, 43183577239786,    0.891,    2.000, 2100,   2.619,   5.373,   1.493,   1.773,   4.491,   1.248, 45,  0,   0.438,   0.399,   0.111,   0.071,   0.055,   0.015,  35.000,    0,   0.255
19:42:03:263, 43183788455032,    0.986,    0.000, 2100,   3.091,   5.669,   1.575,   2.143,   4.696,   1.305, 46,  0,   0.388,   0.437,   0.121,   0.052,   0.060,   0.017,  35.000,    0,   0.137
19:42:03:372, 43184029760411,    1.096,    4.000, 2700,   4.914,   6.206,   1.724,   4.010,   5.135,   1.426, 45,  0,   0.506,   0.492,   0.137,   0.059,   0.067,   0.019,  35.000,    0,   0.243
19:42:03:482, 43184270723752,    1.205,    0.000, 2100,   2.265,   6.453,   1.793,   1.459,   5.294,   1.471, 45,  0,   0.365,   0.532,   0.148,   0.053,   0.072,   0.020,  35.000,    0,   0.092
19:42:03:591, 43184512664548,    1.314,    4.000, 2400,   4.241,   6.918,   1.922,   3.264,   5.652,   1.570, 45,  0,   0.450,   0.581,   0.161,   0.087,   0.082,   0.023,  35.000, 1050,   0.739
19:42:03:700, 43184753577352,    1.423,    1.000, 1400,   1.254,   7.055,   1.960,   0.621,   5.719,   1.589, 45,  0,   0.335,   0.617,   0.172,   0.026,   0.085,   0.024,  35.000,    0,   0.391
19:42:03:810, 43184995257485,    1.533,    2.000, 2100,   4.097,   7.503,   2.084,   3.158,   6.065,   1.685, 45,  0,   0.423,   0.664,   0.184,   0.077,   0.093,   0.026,  35.000,    0,   0.148
19:42:03:919, 43185236624971,    1.642,    1.000, 1800,   1.811,   7.701,   2.139,   1.017,   6.176,   1.716, 45,  0,   0.375,   0.705,   0.196,   0.036,   0.097,   0.027,  35.000,    0,   0.085
19:42:04:031, 43185484633928,    1.754,    1.000, 2800,   3.461,   8.090,   2.247,   2.502,   6.457,   1.794, 45,  0,   0.424,   0.752,   0.209,   0.079,   0.106,   0.029,  35.000,    0,   0.235
19:42:04:140, 43185725989629,    1.864,    4.000, 2000,   3.187,   8.438,   2.344,   2.582,   6.740,   1.872, 47,  0,   0.397,   0.796,   0.221,   0.014,   0.108,   0.030,  35.000,    0,   0.117
19:42:04:247, 43185959929039,    1.970,    7.000, 3000,   8.790,   9.370,   2.603,   7.590,   7.544,   2.095, 45,  0,   0.597,   0.859,   0.239,   0.134,   0.122,   0.034,  35.000,    0,   2.104
19:42:04:364, 43186218553861,    2.087,    2.000, 3000,   4.755,   9.927,   2.757,   3.839,   7.993,   2.220, 46,  0,   0.473,   0.914,   0.254,   0.114,   0.135,   0.038,  35.000,    0,   1.270
19:42:04:473, 43186459148794,    2.196,    2.000, 2200,   4.847,  10.455,   2.904,   4.045,   8.434,   2.343, 48,  0,   0.445,   0.963,   0.267,   0.108,   0.147,   0.041,  35.000,    0,   1.060
19:42:04:582, 43186700652091,    2.305,   10.000, 2800,  13.806,  11.965,   3.324,  12.571,   9.809,   2.725, 50,  0,   0.546,   1.023,   0.284,   0.078,   0.155,   0.043,  35.000,    0,   1.164
19:42:04:693, 43186944904304,    2.416,    6.000, 2800,  13.521,  13.461,   3.739,  12.327,  11.173,   3.104, 50,  0,   0.365,   1.063,   0.295,   0.015,   0.157,   0.044,  35.000,    0,   0.695
19:42:04:802, 43187187288739,    2.526,    7.000, 2100,  10.333,  14.595,   4.054,   9.236,  12.187,   3.385, 47,  0,   0.520,   1.120,   0.311,   0.042,   0.162,   0.045,  35.000,    0,   0.059
19:42:04:912, 43187428556682,    2.635,    0.000, 1200,   1.168,  14.722,   4.090,   0.466,  12.237,   3.399, 46,  0,   0.345,   1.158,   0.322,   0.029,   0.165,   0.046,  35.000,    0,   0.128
19:42:05:021, 43187670597228,    2.744,    3.000, 4000,   2.851,  15.035,   4.176,   2.015,  12.458,   3.461, 46,  0,   0.370,   1.198,   0.333,   0.045,   0.170,   0.047,  35.000,    0,   0.178
19:42:05:130, 43187911612049,    2.854,    0.000, 1200,   1.095,  15.154,   4.210,   0.604,  12.524,   3.479, 45,  0,   0.318,   1.233,   0.342,   0.030,   0.173,   0.048,  35.000,    0,   0.108
19:42:05:240, 43188152700496,    2.963,    1.000, 1600,   2.207,  15.396,   4.277,   1.520,  12.690,   3.525, 45,  0,   0.363,   1.272,   0.353,   0.053,   0.179,   0.050,  35.000,    0,   0.137
19:42:05:350, 43188397266965,    3.074,    1.000, 2600,   0.857,  15.490,   4.303,   0.407,  12.735,   3.538, 45,  0,   0.320,   1.308,   0.363,   0.008,   0.180,   0.050,  35.000,    0,   0.000
19:42:05:460, 43188638442827,    3.183,    0.000, 1400,   1.796,  15.687,   4.357,   1.220,  12.869,   3.575, 45,  0,   0.346,   1.346,   0.374,   0.048,   0.185,   0.051,  35.000,    0,   0.092
19:42:05:569, 43188881121360,    3.293,    9.000, 2900,  12.554,  17.066,   4.741,  11.385,  14.120,   3.922, 49,  0,   0.406,   1.390,   0.386,   0.034,   0.189,   0.052,  35.000,    0,   0.187
19:42:05:678, 43189121098719,    3.401,    7.000, 2800,  13.783,  18.564,   5.157,  12.516,  15.480,   4.300, 51,  0,   0.465,   1.441,   0.400,   0.066,   0.196,   0.054,  35.000,    0,   0.743
19:42:05:788, 43189363555363,    3.511,    5.000, 2100,  11.033,  19.776,   5.493,  10.039,  16.583,   4.606, 47,  0,   0.352,   1.479,   0.411,   0.007,   0.197,   0.055,  35.000,    0,   0.000
19:42:05:897, 43189604483050,    3.620,    0.000, 1800,   1.815,  19.974,   5.548,   1.005,  16.692,   4.637, 46,  0,   0.360,   1.519,   0.422,   0.060,   0.203,   0.056,  35.000,    0,   0.107
19:42:06:006, 43189845882637,    3.730,    3.000, 2300,   4.299,  20.444,   5.679,   3.642,  17.091,   4.747, 46,  0,   0.427,   1.565,   0.435,   0.012,   0.205,   0.057,  35.000,  500,   0.090
19:42:06:116, 43190087093155,    3.839,    2.000, 2000,   3.310,  20.806,   5.779,   2.495,  17.363,   4.823, 45,  0,   0.449,   1.614,   0.448,   0.025,   0.207,   0.058,  35.000,    0,   0.656
19:42:06:225, 43190328513432,    3.948,    2.000, 2100,   2.654,  21.096,   5.860,   1.901,  17.571,   4.881, 45,  0,   0.417,   1.660,   0.461,   0.049,   0.213,   0.059,  35.000,    0,   0.078
19:42:06:336, 43190573057304,    4.059,    0.000, 1100,   0.677,  21.171,   5.881,   0.246,  17.598,   4.888, 45,  0,   0.312,   1.695,   0.471,   0.008,   0.214,   0.059,  35.000,    0,   0.000
19:42:06:445, 43190814451349,    4.168,    2.000, 2000,   2.079,  21.398,   5.944,   1.491,  17.761,   4.934, 45,  0,   0.366,   1.734,   0.482,   0.051,   0.219,   0.061,  35.000,    0,   0.116
19:42:06:555, 43191056364670,    4.278,    4.000, 2100,   1.719,  21.586,   5.996,   1.137,  17.886,   4.968, 45,  0,   0.331,   1.771,   0.492,   0.038,   0.223,   0.062,  35.000,    0,   0.393
19:42:06:664, 43191297494094,    4.387,    1.000, 2100,   2.279,  21.835,   6.065,   1.433,  18.042,   5.012, 45,  0,   0.376,   1.812,   0.503,   0.058,   0.230,   0.064,  35.000,    0,   0.215
