System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%)
20:07:02:695, 46494536457956,    0.117,   11.000, 2100,  14.516,   1.703,   0.473,  13.102,   1.538,   0.427, 53,  0,   0.602,   0.071,   0.020,   0.067,   0.008,   0.002,  35.000,    0,   1.332
20:07:02:804, 46494777868203,    0.227,    8.000, 2100,  13.710,   3.203,   0.890,  12.525,   2.907,   0.807, 53,  0,   0.568,   0.133,   0.037,   0.025,   0.011,   0.003,  35.000,    0,   0.235
20:07:02:919, 46495030510472,    0.341,   10.000, 2100,  13.097,   4.701,   1.306,  11.871,   4.265,   1.185, 52,  0,   0.590,   0.200,   0.056,   0.062,   0.018,   0.005,  35.000,    0,   0.288
20:07:03:028, 46495271775096,    0.450,    8.000, 2300,  13.515,   6.178,   1.716,  12.180,   5.596,   1.554, 54,  0,   0.499,   0.255,   0.071,   0.036,   0.022,   0.006,  35.000,    0,   0.202
20:07:03:137, 46495513904166,    0.560,    9.000, 2300,  13.338,   7.641,   2.122,  12.112,   6.924,   1.923, 53,  0,   0.562,   0.316,   0.088,   0.071,   0.029,   0.008,  35.000,    0,   0.457
20:07:03:248, 46495757832715,    0.671,    8.000, 2500,  13.389,   9.120,   2.533,  12.098,   8.261,   2.295, 53,  0,   0.497,   0.371,   0.103,   0.064,   0.036,   0.010,  35.000,    0,   0.348
20:07:03:359, 46496001930501,    0.781,    7.000, 2500,  13.301,  10.590,   2.942,  12.147,   9.604,   2.668, 53,  0,   0.489,   0.425,   0.118,   0.047,   0.042,   0.012,  35.000,    0,   0.322
20:07:03:468, 46496243456750,    0.890,   10.000, 2600,  13.827,  12.103,   3.362,  12.481,  10.969,   3.047, 53,  0,   0.567,   0.487,   0.135,   0.042,   0.046,   0.013,  35.000,    0,   0.202
20:07:03:577, 46496484668916,    1.000,    8.000, 2100,  13.503,  13.578,   3.772,  12.261,  12.308,   3.419, 54,  0,   0.553,   0.548,   0.152,   0.071,   0.054,   0.015,  35.000,    0,   0.432
20:07:03:687, 46496726070998,    1.109,   11.000, 2300,  13.381,  15.041,   4.178,  12.100,  13.631,   3.786, 53,  0,   0.586,   0.612,   0.170,   0.102,   0.065,   0.018,  35.000,    0,   1.410
20:07:03:796, 46496967476022,    1.218,    8.000, 2200,  13.340,  16.499,   4.583,  11.948,  14.938,   4.149, 53,  0,   0.540,   0.671,   0.186,   0.094,   0.076,   0.021,  35.000,    0,   0.599
20:07:03:905, 46497209278943,    1.328,    9.000, 2300,  13.284,  17.954,   4.987,  12.069,  16.259,   4.516, 52,  0,   0.558,   0.732,   0.203,   0.080,   0.084,   0.023,  35.000,    0,   0.641
20:07:04:017, 46497455649726,    1.439,    7.000, 2500,  13.543,  19.465,   5.407,  12.221,  17.623,   4.895, 53,  0,   0.473,   0.785,   0.218,   0.078,   0.093,   0.026,  35.000,    0,   0.365
20:07:04:126, 46497697014490,    1.549,    8.000, 2300,  13.515,  20.942,   5.817,  12.298,  18.967,   5.269, 52,  0,   0.554,   0.845,   0.235,   0.066,   0.100,   0.028,  35.000,    0,   0.519
20:07:04:236, 46497938474074,    1.658,    7.000, 2100,  13.721,  22.443,   6.234,  12.515,  20.336,   5.649, 53,  0,   0.436,   0.893,   0.248,   0.061,   0.107,   0.030,  35.000,    0,   0.271
20:07:04:348, 46498186440111,    1.770,    8.000, 2100,  13.183,  23.923,   6.645,  11.813,  21.662,   6.017, 53,  0,   0.535,   0.953,   0.265,   0.071,   0.115,   0.032,  35.000,    0,   0.409
20:07:04:457, 46498428304048,    1.880,    7.000, 2300,  13.835,  25.439,   7.066,  12.706,  23.054,   6.404, 54,  0,   0.421,   0.999,   0.278,   0.048,   0.120,   0.033,  35.000,    0,   0.308
