System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%)
14:05:21:832, 211078246973750,    0.130,    8.000, 2500,  11.700,   1.516,   0.421,   8.606,   1.115,   0.310, 51,  0,   0.503,   0.065,   0.018,   1.857,   0.241,   0.067,  35.000,  700,   0.665
14:05:21:960, 211078528633145,    0.257,   16.000, 2700,  11.325,   2.961,   0.822,   8.394,   2.186,   0.607, 50,  0,   0.580,   0.139,   0.039,   1.753,   0.464,   0.129,  35.000,  650,   1.709
14:05:22:049, 211078724846917,    0.346,   10.000, 2400,  10.412,   3.886,   1.080,   7.475,   2.850,   0.792, 50,  0,   0.582,   0.191,   0.053,   1.683,   0.614,   0.171,  35.000,  700,   2.386
14:05:22:157, 211078966205159,    0.455,   18.000, 2100,  10.696,   5.055,   1.404,   8.028,   3.728,   1.036, 49,  0,   0.870,   0.286,   0.079,   1.375,   0.764,   0.212,  35.000,  600,   3.089
14:05:22:266, 211079204863608,    0.563,   12.000, 2200,  10.395,   6.179,   1.716,   7.629,   4.552,   1.265, 49,  0,   0.797,   0.372,   0.103,   1.455,   0.921,   0.256,  35.000,  500,   2.120
14:05:22:381, 211079458003806,    0.678,   14.000, 2200,  10.297,   7.359,   2.044,   7.577,   5.421,   1.506, 49,  0,   0.779,   0.461,   0.128,   1.416,   1.084,   0.301,  35.000,  700,   2.159
14:05:22:486, 211079690522685,    0.783,   10.000, 2100,   9.880,   8.400,   2.333,   7.140,   6.173,   1.715, 49,  0,   0.651,   0.530,   0.147,   1.518,   1.244,   0.345,  35.000,  500,   1.603
14:05:22:596, 211079932864716,    0.893,   12.000, 2200,  10.453,   9.547,   2.652,   7.624,   7.010,   1.947, 50,  0,   0.675,   0.604,   0.168,   1.579,   1.417,   0.394,  35.000,  600,   1.658
14:05:22:704, 211080170482175,    1.001,    9.000, 2400,  10.330,  10.659,   2.961,   7.378,   7.804,   2.168, 50,  0,   0.584,   0.667,   0.185,   1.686,   1.598,   0.444,  35.000,  600,   1.685
14:05:22:817, 211080420009201,    1.114,   11.000, 2100,  10.628,  11.860,   3.294,   7.757,   8.680,   2.411, 50,  0,   0.637,   0.739,   0.205,   1.633,   1.783,   0.495,  35.000,  500,   1.738
14:05:22:950, 211080716746431,    1.248,   21.000, 2100,  10.744,  13.304,   3.696,   7.931,   9.746,   2.707, 50,  0,   0.629,   0.823,   0.229,   1.630,   2.002,   0.556,  35.000,  550,   1.869
14:05:23:034, 211080900065395,    1.331,   10.000, 2500,  10.826,  14.203,   3.945,   7.869,  10.400,   2.889, 50,  0,   0.615,   0.875,   0.243,   1.697,   2.143,   0.595,  35.000,  550,   2.765
14:05:23:141, 211081136800403,    1.438,   11.000, 2200,  10.321,  15.309,   4.253,   7.453,  11.199,   3.111, 49,  0,   0.614,   0.940,   0.261,   1.654,   2.320,   0.645,  35.000,  500,   1.647
14:05:23:251, 211081378318309,    1.548,    9.000, 2100,  10.620,  16.471,   4.575,   7.681,  12.039,   3.344, 50,  0,   0.608,   1.007,   0.280,   1.667,   2.503,   0.695,  35.000,  500,   1.862
14:05:23:365, 211081632978478,    1.663,   12.000, 2300,  10.471,  17.679,   4.911,   7.629,  12.919,   3.589, 49,  0,   0.584,   1.074,   0.298,   1.643,   2.692,   0.748,  35.000,  550,   1.483
