System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%)
14:49:26:845, 216918448221117,    0.115,    1.000, 2100,   8.086,   0.928,   0.258,   3.820,   0.438,   0.122, 47,  0,   0.413,   0.047,   0.013,   3.064,   0.352,   0.098,  35.000, 1050,   1.596
14:49:26:956, 216918694046452,    0.226,    5.000, 2500,   8.948,   1.924,   0.534,   5.013,   0.996,   0.277, 47,  0,   0.469,   0.100,   0.028,   2.783,   0.661,   0.184,  35.000,  650,   2.122
14:49:27:069, 216918942731007,    0.339,    2.000, 2100,   7.353,   2.752,   0.764,   2.973,   1.331,   0.370, 47,  0,   0.406,   0.145,   0.040,   3.198,   1.022,   0.284,  35.000, 1050,   1.894
14:49:27:172, 216919172142911,    0.443,    8.000, 3100,  10.418,   3.835,   1.065,   6.642,   2.021,   0.561, 46,  0,   0.664,   0.214,   0.060,   2.519,   1.283,   0.356,  35.000,  800,   1.435
14:49:27:282, 216919412677793,    0.552,    1.000, 3100,   7.651,   4.668,   1.297,   3.493,   2.402,   0.667, 47,  0,   0.417,   0.260,   0.072,   2.984,   1.608,   0.447,  35.000,  900,   1.521
14:49:27:394, 216919660414833,    0.664,    4.000, 3500,   8.792,   5.654,   1.571,   4.932,   2.955,   0.821, 46,  0,   0.492,   0.315,   0.088,   2.689,   1.910,   0.531,  35.000,  900,   1.858
14:49:27:505, 216919906468197,    0.775,    1.000, 2900,   7.383,   6.477,   1.799,   3.114,   3.302,   0.917, 47,  0,   0.403,   0.360,   0.100,   3.129,   2.259,   0.627,  35.000,  700,   1.113
14:49:27:615, 216920149332314,    0.885,    6.000, 2900,   9.413,   7.513,   2.087,   5.604,   3.919,   1.088, 47,  0,   0.518,   0.417,   0.116,   2.565,   2.541,   0.706,  35.000,  700,   1.287
14:49:27:725, 216920391231147,    0.995,    2.000, 2200,   7.869,   8.375,   2.326,   3.628,   4.316,   1.199, 47,  0,   0.428,   0.464,   0.129,   3.098,   2.880,   0.800,  35.000, 1050,   0.268
14:49:27:829, 216920622926383,    1.100,   10.000, 2400,  10.581,   9.485,   2.635,   7.282,   5.080,   1.411, 48,  0,   0.541,   0.521,   0.145,   2.110,   3.102,   0.862,  35.000,  700,   0.389
14:49:27:948, 216920883140999,    1.218,   14.000, 2700,  11.000,  10.781,   2.995,   8.099,   6.035,   1.676, 48,  0,   0.616,   0.593,   0.165,   1.679,   3.299,   0.917,  35.000,  700,   2.183
14:49:28:052, 216921113108491,    1.322,   11.000, 2200,  10.857,  11.912,   3.309,   7.917,   6.859,   1.905, 47,  0,   0.662,   0.662,   0.184,   1.706,   3.477,   0.966,  35.000,  700,   2.023
14:49:28:157, 216921347165568,    1.428,    3.000, 2400,   8.322,  12.794,   3.554,   4.305,   7.315,   2.032, 46,  0,   0.511,   0.716,   0.199,   2.849,   3.779,   1.050,  35.000,  850,   1.248
14:49:28:268, 216921591701913,    1.538,    4.000, 2800,   8.548,  13.741,   3.817,   4.716,   7.838,   2.177, 47,  0,   0.493,   0.771,   0.214,   2.616,   4.069,   1.130,  35.000,  900,   2.206
14:49:28:377, 216921830285554,    1.646,    4.000, 2700,   9.552,  14.773,   4.104,   5.624,   8.446,   2.346, 47,  0,   0.532,   0.828,   0.230,   2.738,   4.365,   1.212,  35.000,  850,   2.104
14:49:28:487, 216922073935025,    1.757,    4.000, 3200,   8.781,  15.742,   4.373,   5.049,   9.003,   2.501, 47,  0,   0.490,   0.882,   0.245,   2.559,   4.647,   1.291,  35.000, 1000,   1.800
14:49:28:595, 216922313894643,    1.865,    2.000, 2600,   7.763,  16.586,   4.607,   3.668,   9.401,   2.611, 46,  0,   0.430,   0.929,   0.258,   2.913,   4.964,   1.379,  35.000,  700,   1.902
14:49:28:705, 216922556979927,    1.976,    6.000, 2600,   9.215,  17.600,   4.889,   5.474,  10.004,   2.779, 47,  0,   0.576,   0.992,   0.276,   2.539,   5.243,   1.456,  35.000,  700,   1.766
14:49:28:814, 216922795510211,    2.084,    8.000, 2300,   9.771,  18.656,   5.182,   6.243,  10.678,   2.966, 49,  0,   0.535,   1.050,   0.292,   2.342,   5.496,   1.527,  35.000,  600,   1.486
14:49:28:946, 216923087877295,    2.216,   15.000, 2700,  11.224,  20.142,   5.595,   8.385,  11.789,   3.275, 48,  0,   0.732,   1.147,   0.319,   1.611,   5.709,   1.586,  35.000,  700,   2.230
